1X;Branson AirExpress
2I;Star Perú
2J;Air Burkina
2K;AeroGal Aerolineas Galapagos
2L;Helvetic Airways
2M;Moldavian Airlines
2N;Nextjet
2W;Welcome Air
3B;Job Air - Central Connect Airlines
3E;Air Choice One
3L;InterSky
3P;Tiara Air N.V.
4J;Somon Air
4M;Lan Argentina
4Q;Safi Airways
5C;Nature Air
5H;Five Forty Aviation
5L;AeroSur
5N;CJSC Nordavia - Regional Airlines
5W;Iceland Express by Astraeus
6H;Israir Airlines and Tourism Ltd
7D;Donbassaero Airlines
7E;Sylt Air
7F;First Air
7I;Insel Air
7R;RusLine
7V;Federal Air
7W;Windrose Aviation
7Z;Halcyonair
8J;Jet4you.com
8M;Myanmar Airways Intl.
8R;SOL Lineas Aereas
8U;Afriqiyah Airways
9D;Toumai Air Tchad
9H;Dutch Antilles Express
9K;Cape Air
9U;Air Moldova
9W;Jet Airways
A3;Aegean Airlines
A9;Georgian Airways
AB;Air Berlin
AI;Air India
AM;Aeromexico
AP;Air One
AR;Aerolineas Argentinas
AS;Alaska Airlines
AT;Royal Air Maroc
AV;AVIANCA
AY;Finnair
AZ;Alitalia
B2;Belavia Belarusian Airlines
B6;Jetblue Airways
BE;Flybe
BH;Hawkair
BI;Royal Brunei 
BP;Air Botswana
BR;EVA Airways Corp.
BT;Air Baltic Corporation
BV;Blue Panorama Airlines
BW;Caribbean Airlines
CA;Air China
CI;China Airlines
CM;COPA Airlines
CQ;Czech Connect Airlines
CU;Cubana de Aviacion
CX;Cathay Pacific Airways
CY;Cyprus Airways
CZ;China Southern Airlines
D2;Severstal Aircompany
D6;Interair South Africa
DC;Golden Air
DG;South East Asian Airlines
DN;Senegal Airlines
DV;JSC Air Company Scat
EI;Aer Lingus
EK;Emirates
EO;flyCongo
ET;Ethiopian Airlines
EY;Etihad Airways
F7;Darwin Airline SA
F9;Frontier Airlines
FB;Bulgaria Air
FI;Icelandair
FJ;Air Pacific
FS;Syphax Airlines
FV;Rossiya Airlines
G3;GOL Linhas Aereas Inteligentes
GF;Gulf Air
GW;JSC Kuban Airlines
GY;Gabon Airlines
H1;Hahn Air Systems
H2;Sky Airline
HA;Hawaiian Airlines
HG;Niki Luftfahrt GmbH
HM;Air Seychelles
HO;Juneyao Airlines
HR;Hahn Air Lines GmbH
HU;Hainan Airlines Company Limited
HX;Hong Kong Airlines
HY;Uzbekistan Airways 
HZ;SAT Airlines 
I5;SN Air Mali
IE;Solomon Airlines
IG;Meridiana fly S.p.A.
IT;Kingfisher Airlines
IY;Yemenia
IZ;Arkia Israel Airlines
J0;Jetlink Express
J2;Azerbaijan Airlines    (Azal)
J8;Berjaya Air Sdn Bhd
JA;"B&amp;H Airlines"
JJ;TAM - Linhas A�reas
JL;Japan Airlines
JP;Adria Airways
JU;JAT Airways
JZ;Skyways Express AB
K2;EuroLot S.A.
K5;Seaport Airlines / Wings of Alaska
KA;Dragon Air
KC;Air Astana
KE;Korean Air
KK;Atlasjet Airlines
KM;Air Malta
KP;ASky Airlines
KQ;Kenya Airways
KR;Air Bishkek
KU;Kuwait Airways Corporation
KX;Cayman Airways
LA;LAN Airlines
LG;Luxair
LH;Lufthansa
LI;Liat
LO;LOT Polish Airlines
LP;Lan Peru
LR;Lacsa
LW;Pacific Wings Airlines
LY;EL AL Israel Airlines
M7;Marsland Aviation
M9;Motor Sich Airlines JSC
MD;Air Madagascar
ME;Middle East Airlines 
MF;Xiamen Airlines
MH;Malaysia Airlines
MI;SilkAir
MK;Air Mauritius
MS;EgyptAir
MU;China Eastern Airlines
MY;Maya Island Air
NF;Air Vanuatu
NN;VIM Airlines
NT;Binter Canarias
NU;Japan Transocean Air
NX;Air Macau
O2;OLT Express Regional
O5;Comores Aviation International
OA;Olympic Air
OK;CSA Czech Airlines
OL;OLT Express
OM;MIAT - Mongolian Airlines
OR;ArkeFly
OU;Croatia Airlines
OV;Estonian Air
OZ;Asiana Airlines
P0;Proflight Zambia
PG;Bangkok Airways
PI;Sol del Paraguay Lineas Aereas
PK;Pakistan International
PR;Philippine Airlines
PS;Ukraine International Airlines
PU;Pluna S.A.
PW;Precision Air
PY;Surinam Airways Ltd.
PZ;TAM Mercosur
QB;SkyGeorgia
QI;Cimber Sterling
QM;Air Malawi
QR;Qatar Airways
QS;SmartWings
QV;Lao Airlines
QX;Horizon Air
R2;Orenair
R3;JSC Aircompany Yakutia
RE;Aer Arann Regional
RJ;Royal Jordanian
RO;Tarom
RQ;Kam Air
S2;JetLite
S3;SBA Airlines
S4;SATA International
S7;S7 Airlines
SA;South African Airways
SB;Aircalin
SC;Shandong Airlines
SN;Brussels Airlines
SP;SATA Air Acores
SS;Corsairfly
ST;Germania Fluggesellschaft
SV;Saudi Arabian Airlines
SW;Air Namibia
SX;SkyWork Airlines
SY;Sun Country Airlines
T4;TRIP Linhas A�reas
TA;TACA
TB;Jetairfly.com
TC;Air Tanzania
TF;Malm� Aviation
TK;Turkish Airlines
TM;LAM - Linhas Aereas de Mocambique
TN;Air Tahiti Nui
TU;Tunis Air
U6;Ural Airlines
U7;Air Uganda
U8;Armavia Air Company LLC
U9;Aircompany Tatarstan
UL;SriLankan Airlines
UM;Air Zimbabwe
UN;Transaero Airlines
UO;Hong Kong Express Airways
UP;Bahamasair
UT;Utair Aviation Jsc
UU;Air Austral
UX;Air Europa
UZ;Buraq Air
V0;ConViasa  Airlines
V2;Vision Airlines
V3;Carpatair S.A.
V4;Vieques Air Link
VA;Virgin Australia
VK;Air Nigeria
VN;Vietnam Airlines
VR;TACV Cabo Verde Airlines
VS;Virgin Atlantic
VV;Aerosvit Airlines
VW;Aeromar
VY;Vueling Airlines
W3;Arik Air
W5;Mahan Air
WB;Rwandair
WM;Windward Island Airways
WS;Westjet Airlines
WY;Oman Air
XL;LanEcuador
XQ;SunExpress
XR;Skywest Airlines
XV;BVI Airways
YC;Yamal Airlines
YG;South Airlines
YM;Montenegro Airlines
YQ;Polet Airlines
YV;Mesa Airlines
Z5;GMG Airlines
Z6;Dniproavia
ZH;Shenzhen Airlines
ZJ;Zambezi Airlines